individual	n_missing	p_missing
GEO020414_11_300_92bp	190	0.033368458026
GEO020414_13_92bp	5692	0.999648753073
GEO020414_13_300_92bp	295	0.0518089216719
GEO020414_14_92bp	293	0.0514576747453
GEO020414_14_300_92bp	425	0.0746399719002
GEO020414_15_92bp	687	0.120653319283
GEO020414_15_300_92bp	944	0.16578854935
GEO020414_16_92bp	325	0.0570776255708
GEO020414_16_300_92bp	240	0.0421496311907
GEO020414_17_92bp	311	0.0546188970847
GEO020414_17_300_92bp	483	0.0848261327713
GEO020414_2_92bp	424	0.074464348437
GEO020414_23_92bp	198	0.0347734457323
GEO020414_23_300_92bp	201	0.0353003161222
GEO020414_24_92bp	219	0.0384615384615
GEO020414_24_300_92bp	226	0.0396909027046
GEO020414_25_92bp	404	0.0709518791711
GEO020414_25_300_92bp	799	0.140323147172
GEO020414_26_92bp	563	0.0988760098349
GEO020414_27_92bp	382	0.0670881629786
GEO020414_29_92bp	645	0.113277133825
GEO020414_3_92bp	247	0.0433789954338
GEO020414_30_92bp	1388	0.243765367053
GEO020414_4_92bp	203	0.0356515630488
GEO020414_5_92bp	347	0.0609413417633
GEO020414_6_92bp	502	0.0881629785739
GEO020414_7_92bp	188	0.0330172110994
GEO020414_8_92bp	180	0.031612223393
GEO020414_8_300_92bp	188	0.0330172110994
GEO020414_9_92bp	319	0.056023884791
GEO020414_9_300_92bp	299	0.0525114155251
GEO020414_10_2_92bp	264	0.0463645943098
GEO020414_30_2_92bp	522	0.0916754478398
GEO020414_13_2_92bp	243	0.0426765015806
KOD03_035	549	0.0964172813488
KOD03_051	1123	0.19722514928
KOD03_052	518	0.0909729539867
KOD03_053	2583	0.45363540569
KOD03_054	640	0.112399016509
KOD03_055	486	0.0853530031612
KOD03_056	1200	0.210748155954
KOD03_057	392	0.0688443976115
KOD03_058	916	0.160871092378
KOD03_059	2169	0.380927291886
KOD03_060	2329	0.409027046013
KOD03_061	444	0.0779768177028
KOD03_062	2928	0.514225500527
KOD03_063	553	0.097119775202
KOD03_064	370	0.064980681419
KOD03_065	435	0.0763962065332
KOD03_066	430	0.0755180892167
KOD03_067	421	0.0739374780471
KOD03_068	2095	0.367931155602
KOD03_069	612	0.107481559536
KOD03_070	1820	0.319634703196
KOD03_071	487	0.0855286266245
KOD03_072	1853	0.325430277485
KOD03_073	2128	0.373726729891
KOD03_074	559	0.0981735159817
KOD03_075	1660	0.291534949069
KOD03_076	729	0.128029504742
KOD03_077	1224	0.214963119073
KOD03_078	470	0.0825430277485
KOD03_079	1782	0.312961011591
KOD03_080	1808	0.317527221637
KOD03_081	438	0.0769230769231
KOD03_082	492	0.086406743941
KOD03_083	1065	0.187038988409
KOD03_084	508	0.0892167193537
KOD03_085	553	0.097119775202
KOD03_086	1303	0.228837372673
KOD03_087	4203	0.738145416228
KOD03_088	3379	0.593431682473
KOD03_089	463	0.0813136635054
KOD03_090	653	0.114682121531
KOD03_091	2996	0.526167896031
KOD03_092	4763	0.836494555673
KOD03_093	770	0.135230066737
KOD03_094	2054	0.360730593607
KOD03_095	1629	0.286090621707
KOD03_096	536	0.094134176326
KOD03_097	1015	0.178257815244
AD06_001	439	0.0770987003864
AD06_002	4248	0.746048472076
AD06_003	733	0.128731998595
AD06_004	550	0.0965929048121
AD06_005	3586	0.629785739375
AD06_006	856	0.15033368458
AD06_007	729	0.128029504742
AD06_008	470	0.0825430277485
AD06_009	1940	0.340709518792
AD06_010	2329	0.409027046013
AD06_011	439	0.0770987003864
AD06_012	2797	0.491218826835
AD06_013	1669	0.293115560239
AD06_014	3259	0.572356866877
AD06_015	3244	0.569722514928
AD06_016	3223	0.566034422199
AD06_017	437	0.0767474534598
AD06_018	516	0.0906217070601
AD06_019	2140	0.375834211451
AD06_020	749	0.131541974008
AD06_021	1098	0.192834562698
AD06_022	3979	0.69880576045
AD06_023	1190	0.208991921321
AD06_024	3469	0.609237794169
AD06_025	683	0.11995082543
AD06_026	2915	0.511942395504
AD06_027	3066	0.538461538462
AD06_028	3634	0.638215665613
AD06_029	591	0.103793466807
AD06_030	523	0.0918510713031
AD06_031	4924	0.864769933263
AD06_032	860	0.151036178433
AD06_033	2898	0.508956796628
AD06_034	4011	0.704425711275
AD06_035	594	0.104320337197
AD06_036	478	0.0839480154549
AD06_037	2179	0.382683526519
AD06_038	2056	0.361081840534
AD06_039	3064	0.538110291535
AD06_040	713	0.125219529329
AD06_041	614	0.107832806463
AD06_042	1381	0.24253600281
AD06_043	3455	0.606779065683
AD06_044	483	0.0848261327713
AD06_045	710	0.124692658939
AD06_046	945	0.165964172813
AD06_047	752	0.132068844398
AD06_048	467	0.0820161573586
WC05_001	827	0.145240604145
WC05_002	1143	0.200737618546
WC05_003	639	0.112223393045
WC05_004	2248	0.394801545486
WC05_005	1063	0.186687741482
WC05_006	591	0.103793466807
WC05_007	2414	0.423955040393
WC05_008	422	0.0741131015104
WC05_009	1014	0.178082191781
WC05_010	2125	0.373199859501
WC05_011	3355	0.589216719354
WC05_012	537	0.0943097997893
WC05_013	3220	0.565507551809
WC05_014	630	0.110642781876
WC05_015	396	0.0695468914647
WC05_016	466	0.0818405338953
WC05_017	486	0.0853530031612
WC05_018	459	0.0806111696523
WC05_019	2510	0.44081489287
WC05_020	3207	0.563224446786
WC05_021	1551	0.27239199157
WC05_022	459	0.0806111696523
WC05_023	1224	0.214963119073
WC05_024	2724	0.478398314015
WC05_025	540	0.0948366701791
WC05_026	2346	0.412012644889
WC05_027	2199	0.386195995785
WC05_028	3046	0.534949069196
WC05_029	480	0.0842992623815
WC05_030	2444	0.429223744292
WC05_031	1172	0.205830698981
WC05_032	520	0.0913242009132
WC05_033	656	0.115208991921
WC05_034	1578	0.277133825079
WC05_035	618	0.108535300316
WC05_036	924	0.162276080084
WC05_037	1160	0.203723217422
WC05_038	4801	0.843168247278
WC05_039	3799	0.667193537057
WC05_040	453	0.0795574288725
WC05_041	768	0.13487881981
WC05_042	3284	0.57674745346
WC05_043	4319	0.75851773797
WC05_044	1409	0.247453459782
WC05_045	3128	0.549350193186
WC05_046	2715	0.476817702845
WC05_047	1039	0.182472778363
WC05_048	1167	0.204952581665
HS04_001	567	0.0995785036881
HS04_002	1138	0.199859501229
HS04_003	512	0.0899192132069
HS04_004	2052	0.360379346681
HS04_005	568	0.0997541271514
HS04_006	441	0.077449947313
HS04_007	1143	0.200737618546
HS04_008	425	0.0746399719002
HS04_009	985	0.172989111345
HS04_010	2930	0.514576747453
HS04_011	4221	0.741306638567
HS04_012	472	0.0828942746751
HS04_013	2625	0.461011591149
HS04_014	479	0.0841236389182
HS04_015	362	0.0635756937127
HS04_016	441	0.077449947313
HS04_017	404	0.0709518791711
HS04_018	456	0.0800842992624
HS04_019	1781	0.312785388128
HS04_020	512	0.0899192132069
HS04_021	1317	0.231296101159
HS04_022	439	0.0770987003864
HS04_023	1287	0.22602739726
HS04_024	1046	0.183702142606
HS04_025	625	0.109764664559
HS04_026	2761	0.484896382157
HS04_027	561	0.0985247629083
HS04_028	1642	0.28837372673
HS04_029	506	0.0888654724271
HS04_030	2358	0.414120126449
HS04_031	1015	0.178257815244
HS04_032	442	0.0776255707763
HS04_033	566	0.0994028802248
HS04_034	1356	0.238145416228
HS04_035	590	0.103617843344
HS04_036	2043	0.358798735511
HS04_037	667	0.117140850018
HS04_038	3253	0.571303126098
HS04_039	3669	0.644362486828
HS04_040	448	0.078679311556
HS04_041	753	0.132244467861
HS04_042	1796	0.315419740077
HS04_043	3640	0.639269406393
HS04_044	729	0.128029504742
HS04_045	1418	0.249034070952
HS04_046	807	0.141728134879
HS04_047	509	0.089392342817
HS04_048	721	0.126624517035
PS12_001	873	0.153319283456
PS12_002	2133	0.374604847208
PS12_003	550	0.0965929048121
PS12_004	2869	0.503863716192
PS12_005	543	0.095363540569
PS12_006	442	0.0776255707763
PS12_007	1817	0.319107832806
PS12_008	399	0.0700737618546
PS12_009	1834	0.322093431682
PS12_010	2894	0.508254302775
PS12_011	3017	0.52985598876
PS12_012	467	0.0820161573586
PS12_013	1633	0.28679311556
PS12_014	467	0.0820161573586
PS12_015	374	0.0656831752722
PS12_016	465	0.081664910432
PS12_017	404	0.0709518791711
PS12_018	484	0.0850017562346
PS12_019	2097	0.368282402529
PS12_020	490	0.0860554970144
PS12_021	1040	0.182648401826
PS12_022	436	0.0765718299965
PS12_023	2647	0.464875307341
PS12_024	568	0.0997541271514
PS12_025	505	0.0886898489638
PS12_026	1349	0.236916051985
PS12_027	605	0.106252195293
PS12_028	1187	0.208465050931
PS12_029	504	0.0885142255005
PS12_030	1945	0.341587636108
PS12_031	996	0.174920969442
PS12_032	459	0.0806111696523
PS12_033	782	0.137337548296
PS12_034	1337	0.234808570425
PS12_035	509	0.089392342817
PS12_036	685	0.120302072357
PS12_037	596	0.104671584124
PS12_038	2277	0.399894625922
PS12_039	3522	0.618545837724
PS12_040	461	0.0809624165789
PS12_041	738	0.129610115911
PS12_042	2875	0.504917456972
PS12_043	4229	0.742711626273
