"sample"	"n_loci"	"population"	"group"
"560"	"UP03_007"	22635	"UnimakPass03"	"Alaska"
"159"	"GS13_014"	22641	"SalishSea12_13"	"Alaska"
"183"	"HS04_021"	22652	"HecStrait04"	"Alaska"
"384"	"KOD03_077"	22676	"Kodiak03"	"Alaska"
"537"	"PWS12_063"	22706	"PWSound12"	"Alaska"
"485"	"PS12_028"	22725	"JuandeFuca12"	"Alaska"
"23"	"AD06_023"	22734	"Adak06"	"Alaska"
"591"	"UP03_038"	22750	"UnimakPass03"	"Alaska"
"501"	"PS12_044"	22767	"JuandeFuca12"	"Alaska"
"590"	"UP03_037"	22770	"UnimakPass03"	"Alaska"
"393"	"KOD03_086"	22776	"Kodiak03"	"Alaska"
"528"	"PWS12_023"	22780	"PWSound12"	"Alaska"
"312"	"JB121807_42_92bp"	22782	"JinhaeBay07"	"Korea"
"293"	"JB121807_25_92bp"	22796	"JinhaeBay07"	"Korea"
"603"	"WC05_002"	22805	"WashCoast05"	"Alaska"
"294"	"JB121807_26_c_92bp"	22806	"JinhaeBay07"	"Korea"
"235"	"JB021108_24_c_92bp"	22816	"JinhaeBay08"	"Korea"
"565"	"UP03_012"	22821	"UnimakPass03"	"Alaska"
"632"	"WC05_031"	22828	"WashCoast05"	"Alaska"
"624"	"WC05_023"	22832	"WashCoast05"	"Alaska"
"549"	"PWS12_097"	22844	"PWSound12"	"Alaska"
"649"	"WC05_048"	22853	"WashCoast05"	"Alaska"
"363"	"KOD03_056"	22861	"Kodiak03"	"Alaska"
"585"	"UP03_032"	22864	"UnimakPass03"	"Alaska"
"478"	"PS12_021"	22891	"SalishSea12_13"	"Alaska"
"543"	"PWS12_077"	22896	"PWSound12"	"Alaska"
"358"	"KOD03_051"	22910	"Kodiak03"	"Alaska"
"390"	"KOD03_083"	22913	"Kodiak03"	"Alaska"
"576"	"UP03_023"	22913	"UnimakPass03"	"Alaska"
"185"	"HS04_023"	22933	"HecStrait04"	"Alaska"
"610"	"WC05_009"	22954	"WashCoast05"	"Alaska"
"164"	"HS04_002"	22986	"HecStrait04"	"Alaska"
"213"	"JB021108_04.1_92bp"	22987	"JinhaeBay08"	"Korea"
"638"	"WC05_037"	22998	"WashCoast05"	"Alaska"
"169"	"HS04_007"	23019	"HecStrait04"	"Alaska"
"21"	"AD06_021"	23022	"Adak06"	"Alaska"
"488"	"PS12_031"	23026	"JuandeFuca12"	"Alaska"
"171"	"HS04_009"	23035	"HecStrait04"	"Alaska"
"596"	"UP03_043"	23043	"UnimakPass03"	"Alaska"
"648"	"WC05_047"	23044	"WashCoast05"	"Alaska"
"553"	"PWS12_134"	23046	"PWSound12"	"Alaska"
"365"	"KOD03_058"	23054	"Kodiak03"	"Alaska"
"404"	"KOD03_097"	23054	"Kodiak03"	"Alaska"
"558"	"UP03_005"	23090	"UnimakPass03"	"Alaska"
"642"	"WC05_041"	23091	"WashCoast05"	"Alaska"
"46"	"AD06_046"	23094	"Adak06"	"Alaska"
"508"	"PWS12_003"	23103	"PWSound12"	"Alaska"
"524"	"PWS12_019"	23103	"PWSound12"	"Alaska"
"193"	"HS04_031"	23104	"HecStrait04"	"Alaska"
"637"	"WC05_036"	23111	"WashCoast05"	"Alaska"
"186"	"HS04_024"	23112	"HecStrait04"	"Alaska"
"600"	"UP03_047"	23124	"UnimakPass03"	"Alaska"
"588"	"UP03_035"	23136	"UnimakPass03"	"Alaska"
