sample	n_loci	population	group
HS04_023	22933	HecStrait04	Alaska
HS04_024	23112	HecStrait04	Alaska
HS04_025	23437	HecStrait04	Alaska
HS04_026	20944	HecStrait04	Alaska
HS04_027	23512	HecStrait04	Alaska
HS04_028	22408	HecStrait04	Alaska
HS04_029	23559	HecStrait04	Alaska
HS04_030	21608	HecStrait04	Alaska
HS04_031	23104	HecStrait04	Alaska
HS04_032	23875	HecStrait04	Alaska
HS04_033	23435	HecStrait04	Alaska
HS04_034	22467	HecStrait04	Alaska
HS04_035	23459	HecStrait04	Alaska
HS04_036	22169	HecStrait04	Alaska
HS04_037	23385	HecStrait04	Alaska
HS04_038	19698	HecStrait04	Alaska
HS04_039	18566	HecStrait04	Alaska
HS04_040	23822	HecStrait04	Alaska
HS04_041	23198	HecStrait04	Alaska
HS04_042	21904	HecStrait04	Alaska
HS04_043	20046	HecStrait04	Alaska
HS04_044	23356	HecStrait04	Alaska
HS04_045	22550	HecStrait04	Alaska
HS04_046	23247	HecStrait04	Alaska
HS04_047	23500	HecStrait04	Alaska
HS04_048	23290	HecStrait04	Alaska
JB021108_01.1_92bp	18316	JinhaeBay08	Korea
JB021108_02.1_92bp	24634	JinhaeBay08	Korea
JB021108_04.1_92bp	22987	JinhaeBay08	Korea
JB021108_05_92bp	25170	JinhaeBay08	Korea
JB021108_05_rep_92bp	25180	JinhaeBay08	Korea
JB021108_06_92bp	25066	JinhaeBay08	Korea
JB021108_07.1_92bp	24885	JinhaeBay08	Korea
JB021108_08.1_92bp	23201	JinhaeBay08	Korea
JB021108_09.1_92bp	24738	JinhaeBay08	Korea
JB021108_10.1_92bp	17424	JinhaeBay08	Korea
JB021108_11_2_92bp	25020	JinhaeBay08	Korea
JB021108_11_92bp	7210	JinhaeBay08	Korea
JB021108_11_rep_92bp	23509	JinhaeBay08	Korea
JB021108_12.1_92bp	25096	JinhaeBay08	Korea
JB021108_13.1_92bp	24825	JinhaeBay08	Korea
JB021108_14_2_92bp	24558	JinhaeBay08	Korea
JB021108_14_92bp	16971	JinhaeBay08	Korea
JB021108_16_92bp	25310	JinhaeBay08	Korea
JB021108_17.1_92bp	25127	JinhaeBay08	Korea
JB021108_19.1_92bp	24913	JinhaeBay08	Korea
JB021108_20_92bp	24331	JinhaeBay08	Korea
JB021108_21_c_92bp	15081	JinhaeBay08	Korea
