per locus comparison. all values as proportions
locus_ID	n_pairs	both_miss	b1_miss	b2_miss	both_genotyped	matched	diff_homhom	diff_homhet	diff_hethom
10396	50	0.0	0.14	0.0	0.86	0.0	0.0	1.0	0.0
10403	50	0.0	0.06	0.0	0.94	0.0	0.0	1.0	0.0
10404	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
1041	50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
10410	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10413	50	0.0	0.1	0.0	0.9	0.0	0.0	0.6	0.4
10419	50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
10422	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10428	50	0.0	0.02	0.0	0.98	0.0	0.0	0.591836734694	0.408163265306
10432	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10438	50	0.0	0.1	0.0	0.9	0.0	0.0	0.822222222222	0.177777777778
1044	50	0.0	0.0	0.0	1.0	0.0	0.0	0.86	0.14
10440	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10441	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10443	50	0.0	0.12	0.0	0.88	0.0	0.0	0.0909090909091	0.909090909091
10445	50	0.0	0.0	0.0	1.0	0.0	0.0	0.48	0.52
10448	50	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
10456	50	0.0	0.18	0.0	0.82	0.0	0.0	1.0	0.0
10461	50	0.0	0.0	0.0	1.0	0.0	0.0	0.98	0.02
10466	50	0.0	0.0	0.0	1.0	0.0	0.0	0.78	0.22
10467	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10468	50	0.0	0.18	0.0	0.82	0.0	0.0	0.853658536585	0.146341463415
10469	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10470	50	0.0	0.3	0.0	0.7	0.0	0.0	1.0	0.0
10474	50	0.0	0.1	0.0	0.9	0.0	0.0	0.933333333333	0.0666666666667
10477	50	0.0	0.1	0.0	0.9	0.0	0.0	1.0	0.0
10479	50	0.0	0.0	0.0	1.0	0.0	0.0	0.96	0.04
10480	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10484	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10486	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
10489	50	0.0	1.0	0.0	2e-20	0.0	0.0	0.0	0.0
1049	50	0.0	0.06	0.0	0.94	0.0	0.0	0.957446808511	0.0425531914894
10490	50	0.0	0.1	0.0	0.9	0.0	0.0	0.977777777778	0.0222222222222
