locus_ID	n_pairs	both_miss	b1_miss	b2_miss	both_genotyped	matched	diff_homhom	diff_homhet	diff_hethom
3915	50	0.0	0.0	0.02	0.98	0.959183673469	0.0	0.0204081632653	0.0204081632653
3917	50	0.02	0.0	0.1	0.88	1.0	0.0	0.0	0.0
3918	50	0.38	0.22	0.04	0.36	1.0	0.0	0.0	0.0
3920	50	0.0	0.0	0.06	0.94	1.0	0.0	0.0	0.0
3922	50	0.24	0.46	0.02	0.28	1.0	0.0	0.0	0.0
3925	50	0.18	0.08	0.02	0.72	1.0	0.0	0.0	0.0
3927	50	0.02	0.02	0.0	0.96	1.0	0.0	0.0	0.0
3930	50	0.08	0.12	0.02	0.78	1.0	0.0	0.0	0.0
3933	50	0.02	0.0	0.06	0.92	0.978260869565	0.0	0.0217391304348	0.0
3937	50	0.02	0.02	0.06	0.9	0.955555555556	0.0222222222222	0.0222222222222	0.0
3943	50	0.0	0.0	0.02	0.98	1.0	0.0	0.0	0.0
3945	50	0.02	0.02	0.04	0.92	1.0	0.0	0.0	0.0
3946	50	0.0	0.0	0.02	0.98	0.938775510204	0.0	0.0204081632653	0.0408163265306
3947	50	0.16	0.18	0.04	0.62	0.967741935484	0.0	0.0	0.0322580645161
3948	50	0.1	0.16	0.0	0.74	0.972972972973	0.027027027027	0.0	0.0
3949	50	0.0	0.0	0.04	0.96	0.958333333333	0.0	0.0208333333333	0.0208333333333
3950	50	0.02	0.0	0.06	0.92	1.0	0.0	0.0	0.0
3953	50	0.16	0.34	0.04	0.46	1.0	0.0	0.0	0.0
3954	50	0.06	0.2	0.04	0.7	1.0	0.0	0.0	0.0
3957	50	0.06	0.0	0.06	0.88	1.0	0.0	0.0	0.0
3958	50	0.04	0.0	0.0	0.96	1.0	0.0	0.0	0.0
3960	50	0.0	0.0	0.08	0.92	1.0	0.0	0.0	0.0
3962	50	0.02	0.0	0.14	0.84	0.97619047619	0.0	0.0	0.0238095238095
3963	50	0.0	0.0	0.04	0.96	0.979166666667	0.0	0.0	0.0208333333333
3966	50	0.1	0.18	0.02	0.7	1.0	0.0	0.0	0.0
3967	50	0.0	0.0	0.02	0.98	1.0	0.0	0.0	0.0
3968	50	0.0	0.0	0.0	1.0	0.96	0.0	0.0	0.04
3969	50	0.0	0.0	0.04	0.96	1.0	0.0	0.0	0.0
3970	50	0.02	0.02	0.02	0.94	0.957446808511	0.0	0.0212765957447	0.0212765957447
3971	50	0.0	0.0	0.0	1.0	0.98	0.0	0.0	0.02
3972	50	0.16	0.14	0.02	0.68	1.0	0.0	0.0	0.0
3979	50	0.02	0.0	0.06	0.92	1.0	0.0	0.0	0.0
3980	50	0.02	0.0	0.04	0.94	1.0	0.0	0.0	0.0
3982	50	0.06	0.0	0.06	0.88	1.0	0.0	0.0	0.0
3983	50	0.0	0.0	0.1	0.9	1.0	0.0	0.0	0.0
3984	50	0.14	0.16	0.12	0.58	1.0	0.0	0.0	0.0
3988	50	0.2	0.3	0.2	0.3	1.0	0.0	0.0	0.0
3991	50	0.02	0.0	0.02	0.96	0.979166666667	0.0	0.0208333333333	0.0
3998	50	0.04	0.0	0.0	0.96	1.0	0.0	0.0	0.0
4004	50	0.34	0.14	0.0	0.52	1.0	0.0	0.0	0.0
4005	50	0.38	0.4	0.0	0.22	1.0	0.0	0.0	0.0
4006	50	0.0	0.0	0.02	0.98	0.979591836735	0.0	0.0204081632653	0.0
4007	50	0.02	0.0	0.04	0.94	1.0	0.0	0.0	0.0
4009	50	0.02	0.02	0.08	0.88	1.0	0.0	0.0	0.0
4010	50	0.02	0.0	0.0	0.98	1.0	0.0	0.0	0.0
4013	50	0.0	0.0	0.02	0.98	1.0	0.0	0.0	0.0
4018	50	0.02	0.0	0.1	0.88	1.0	0.0	0.0	0.0
4019	50	0.1	0.2	0.0	0.7	0.971428571429	0.0285714285714	0.0	0.0
4024	50	0.0	0.0	0.06	0.94	1.0	0.0	0.0	0.0
4025	50	0.06	0.16	0.0	0.78	1.0	0.0	0.0	0.0
4026	50	0.0	0.0	0.04	0.96	1.0	0.0	0.0	0.0
4028	50	0.08	0.0	0.08	0.84	1.0	0.0	0.0	0.0
4029	50	0.0	0.02	0.02	0.96	0.979166666667	0.0	0.0208333333333	0.0
4031	50	0.12	0.16	0.02	0.7	1.0	0.0	0.0	0.0
4032	50	0.02	0.0	0.0	0.98	1.0	0.0	0.0	0.0
4033	50	0.12	0.16	0.06	0.66	0.969696969697	0.0	0.030303030303	0.0
4034	50	0.0	0.0	0.04	0.96	1.0	0.0	0.0	0.0
4036	50	0.06	0.12	0.0	0.82	1.0	0.0	0.0	0.0
4037	50	0.04	0.0	0.04	0.92	0.978260869565	0.0217391304348	0.0	0.0
4038	50	0.02	0.0	0.0	0.98	1.0	0.0	0.0	0.0
4040	50	0.0	0.0	0.08	0.92	1.0	0.0	0.0	0.0
4041	50	0.2	0.22	0.06	0.52	1.0	0.0	0.0	0.0
4042	50	0.24	0.26	0.0	0.5	0.96	0.0	0.04	0.0
4043	50	0.0	0.0	0.06	0.94	1.0	0.0	0.0	0.0
4045	50	0.12	0.14	0.02	0.72	1.0	0.0	0.0	0.0
4048	50	0.12	0.26	0.06	0.56	1.0	0.0	0.0	0.0
4049	50	0.0	0.0	0.1	0.9	1.0	0.0	0.0	0.0
4052	50	0.0	0.02	0.06	0.92	1.0	0.0	0.0	0.0
4054	50	0.08	0.12	0.06	0.74	1.0	0.0	0.0	0.0
4057	50	0.02	0.0	0.02	0.96	0.979166666667	0.0208333333333	0.0	0.0
4060	50	0.04	0.0	0.08	0.88	1.0	0.0	0.0	0.0
4061	50	0.02	0.0	0.02	0.96	0.979166666667	0.0	0.0	0.0208333333333
4063	50	0.08	0.12	0.02	0.78	1.0	0.0	0.0	0.0
4064	50	0.1	0.16	0.0	0.74	1.0	0.0	0.0	0.0
4065	50	0.0	0.0	0.02	0.98	1.0	0.0	0.0	0.0
4066	50	0.1	0.18	0.0	0.72	0.972222222222	0.0	0.0277777777778	0.0
4068	50	0.1	0.16	0.0	0.74	1.0	0.0	0.0	0.0
4070	50	0.06	0.0	0.02	0.92	0.95652173913	0.0	0.0	0.0434782608696
4073	50	0.0	0.0	0.02	0.98	1.0	0.0	0.0	0.0
4075	50	0.14	0.14	0.08	0.64	1.0	0.0	0.0	0.0
4076	50	0.36	0.26	0.04	0.34	1.0	0.0	0.0	0.0
4079	50	0.0	0.0	0.1	0.9	0.955555555556	0.0	0.0222222222222	0.0222222222222
4080	50	0.06	0.0	0.12	0.82	1.0	0.0	0.0	0.0
4085	50	0.0	0.0	0.08	0.92	0.978260869565	0.0	0.0	0.0217391304348
4086	50	0.0	0.0	0.02	0.98	1.0	0.0	0.0	0.0
4088	50	0.28	0.26	0.08	0.38	1.0	0.0	0.0	0.0
4089	50	0.0	0.0	0.02	0.98	0.979591836735	0.0	0.0	0.0204081632653
4090	50	0.0	0.0	0.04	0.96	1.0	0.0	0.0	0.0
4093	50	0.14	0.22	0.04	0.6	1.0	0.0	0.0	0.0
