LIST OF LOGLIKELIHOODS

This output shows the Ln(Likelihood) for each of the four following
relationships:

U  = Unrelated
HS = Half Sibs
FS = Full Sibs
PO = Parent / Offspring

Interpretation

R                     This column lists the relationship with the highest likelihood.
LnL(R)                This column lists the log likelihood of R
Delta Ln(L)           These columns list how much lower the log likelihoods are for
                          the other relationships. For example, if there is a 2.1
                          the FS column, it means that the loglikelihood of the
                          individuals being full sibs is 2.1 less than the
                          loglikelihood of the relationship with the highest
                          likelihood.

Note:                 A Delta Ln(L) of '9999' indicates that the relationship
                           is not possible.


						Delta Ln(L)
Ind1	Ind2	R	LnL(R)		U	HS	FS	PO
PS12_001	GS13_012	U	-3276.95		-	28.12	193.06	9999
PS12_001	GS13_013	U	-3123.87		-	18.34	182.54	9999
PS12_001	GS13_014	U	-3149.91		-	34.50	209.85	9999
PS12_001	GS13_015	U	-2975.49		-	20.88	177.10	9999
PS12_001	GS13_016	U	-3207.14		-	25.55	206.42	9999
PS12_001	GS13_017	U	-3210.00		-	24.16	199.10	9999
PS12_002	GS13_001	U	-3042.63		-	22.23	172.12	9999
PS12_002	GS13_002	U	-2429.44		-	36.89	175.32	9999
PS12_002	GS13_003	U	-2854.78		-	16.24	168.32	9999
PS12_002	GS13_004	U	-2504.32		-	29.31	163.54	9999
PS12_002	GS13_005	U	-3004.80		-	34.38	206.97	9999
PS12_002	GS13_006	U	-2969.00		-	13.47	167.94	9999
PS12_002	GS13_007	U	-2657.51		-	41.32	202.89	9999
PS12_002	GS13_008	U	-2950.04		-	32.47	210.04	9999
PS12_002	GS13_009	U	-2412.39		-	25.81	156.78	9999
PS12_002	GS13_010	U	-2581.94		-	30.77	163.64	9999
PS12_002	GS13_011	U	-2876.56		-	25.67	175.80	9999
PS12_002	GS13_012	U	-3040.10		-	13.53	177.20	9999
PS12_002	GS13_013	U	-2897.82		-	33.29	193.24	9999
PS12_002	GS13_014	U	-2906.26		-	39.41	205.99	9999
PS12_002	GS13_015	U	-2808.06		-	38.14	191.69	9999
PS12_002	GS13_016	U	-2931.29		-	37.69	201.60	9999
PS12_002	GS13_017	U	-2939.18		-	12.89	168.61	9999
PS12_002	PS12_001	HS	-2852.50		2.43	-	124.49	9999
PS12_003	GS13_001	U	-3413.26		-	27.02	211.62	9999
PS12_003	GS13_002	U	-2647.06		-	28.20	178.17	9999
PS12_003	GS13_003	U	-3178.32		-	27.22	202.72	9999
PS12_003	GS13_004	U	-2759.25		-	30.67	171.90	9999
PS12_003	GS13_005	U	-3406.37		-	24.60	209.40	9999
PS12_003	GS13_006	U	-3379.89		-	34.32	227.79	9999
PS12_003	GS13_007	U	-2919.06		-	37.36	202.00	9999
PS12_003	GS13_008	U	-3307.96		-	7.99	171.70	9999
PS12_003	GS13_009	U	-2611.93		-	27.62	171.10	9999
PS12_003	GS13_010	U	-2832.41		-	28.57	188.88	9999
PS12_003	GS13_011	U	-3247.05		-	36.67	224.45	9999
PS12_003	GS13_012	HS	-3384.57		3.11	-	147.93	9999
PS12_003	GS13_013	U	-3233.47		-	29.13	213.97	9999
PS12_003	GS13_014	U	-3236.18		-	2.43	168.18	9999
PS12_003	GS13_015	U	-3078.75		-	25.77	190.99	9999
PS12_003	GS13_016	U	-3316.82		-	5.11	165.51	9999
PS12_003	GS13_017	U	-3307.91		-	34.74	220.95	9999
PS12_003	PS12_001	U	-3190.07		-	45.89	225.71	9999
PS12_003	PS12_002	U	-2957.46		-	46.21	218.73	9999
PS12_004	GS13_001	U	-2863.01		-	23.54	180.90	9999
PS12_004	GS13_002	U	-2246.47		-	42.24	182.72	9999
PS12_004	GS13_003	U	-2715.98		-	28.48	171.53	9999
PS12_004	GS13_004	U	-2419.59		-	21.16	152.81	9999
PS12_004	GS13_005	U	-2829.06		-	34.84	206.94	9999
PS12_004	GS13_006	U	-2815.95		-	31.46	183.76	9999
PS12_004	GS13_007	U	-2499.54		-	53.92	212.95	9999
PS12_004	GS13_008	U	-2767.20		-	39.96	201.07	9999
PS12_004	GS13_009	U	-2330.50		-	25.41	152.32	9999
PS12_004	GS13_010	U	-2484.36		-	55.72	217.06	9999
PS12_004	GS13_011	U	-2736.40		-	34.55	180.10	9999
PS12_004	GS13_012	U	-2854.15		-	35.15	202.91	9999
PS12_004	GS13_013	U	-2796.02		-	36.94	188.64	9999
PS12_004	GS13_014	U	-2777.78		-	14.83	163.66	9999
PS12_004	GS13_015	U	-2634.91		-	25.87	171.32	9999
PS12_004	GS13_016	U	-2774.64		-	26.98	173.09	9999
PS12_004	GS13_017	U	-2772.02		-	29.04	191.62	9999
PS12_004	PS12_001	U	-2673.93		-	24.37	162.49	9999
PS12_004	PS12_002	U	-2552.75		-	43.66	194.74	9999
PS12_004	PS12_003	U	-2777.93		-	37.15	187.48	9999
PS12_005	GS13_001	U	-3313.67		-	47.99	243.15	9999
PS12_005	GS13_002	U	-2568.58		-	37.17	189.44	9999
PS12_005	GS13_003	U	-3055.04		-	25.71	180.60	9999
PS12_005	GS13_004	U	-2682.77		-	29.13	176.13	9999
PS12_005	GS13_005	U	-3278.63		-	33.89	211.84	9999
PS12_005	GS13_006	U	-3247.64		-	27.88	195.42	9999
PS12_005	GS13_007	U	-2837.93		-	35.31	194.31	9999
PS12_005	GS13_008	U	-3191.33		-	45.32	229.76	9999
PS12_005	GS13_009	U	-2542.61		-	35.04	177.83	9999
PS12_005	GS13_010	U	-2720.69		-	34.11	184.54	9999
PS12_005	GS13_011	U	-3122.99		-	27.86	196.62	9999
PS12_005	GS13_012	U	-3269.55		-	41.69	226.48	9999
PS12_005	GS13_013	U	-3130.38		-	7.25	157.14	9999
PS12_005	GS13_014	U	-3128.61		-	27.35	184.82	9999
PS12_005	GS13_015	U	-2976.76		-	25.46	179.92	9999
PS12_005	GS13_016	U	-3189.27		-	36.73	211.52	9999
PS12_005	GS13_017	U	-3196.38		-	45.36	238.51	9999
PS12_005	PS12_001	U	-3078.47		-	39.34	212.79	9999
PS12_005	PS12_002	U	-2829.87		-	14.44	143.92	9999
PS12_005	PS12_003	U	-3184.83		-	46.91	229.57	9999
PS12_005	PS12_004	U	-2663.36		-	15.41	146.99	9999
PS12_006	GS13_001	U	-3400.62		-	28.97	214.43	9999
PS12_006	GS13_002	U	-2625.91		-	17.76	167.26	9999
PS12_006	GS13_003	U	-3142.88		-	34.15	218.49	9999
PS12_006	GS13_004	U	-2713.72		-	34.37	184.19	9999
PS12_006	GS13_005	U	-3377.69		-	36.67	222.86	9999
PS12_006	GS13_006	U	-3357.42		-	33.23	232.11	9999
PS12_006	GS13_007	U	-2893.54		-	35.67	191.64	9999
PS12_006	GS13_008	U	-3274.45		-	20.57	184.42	9999
PS12_006	GS13_009	U	-2586.41		-	44.31	193.69	9999
PS12_006	GS13_010	U	-2787.14		-	16.36	160.54	9999
PS12_006	GS13_011	U	-3219.70		-	21.52	186.18	9999
PS12_006	GS13_012	U	-3363.22		-	41.18	227.81	9999
PS12_006	GS13_013	U	-3217.30		-	8.39	168.56	9999
PS12_006	GS13_014	U	-3216.96		-	38.54	214.55	9999
PS12_006	GS13_015	U	-3026.43		-	21.75	190.58	9999
PS12_006	GS13_016	U	-3301.35		-	5.85	171.32	9999
PS12_006	GS13_017	U	-3295.14		-	40.24	233.28	9999
PS12_006	PS12_001	U	-3173.56		-	24.01	180.05	9999
PS12_006	PS12_002	U	-2898.24		-	35.14	201.61	9999
PS12_006	PS12_003	U	-3292.22		-	24.24	193.67	9999
PS12_006	PS12_004	U	-2734.98		-	18.41	153.74	9999
PS12_006	PS12_005	HS	-3142.82		4.64	-	138.62	9999
PS12_007	GS13_001	U	-3161.84		-	25.40	195.49	9999
PS12_007	GS13_002	U	-2470.47		-	38.18	186.44	9999
PS12_007	GS13_003	U	-2993.40		-	5.57	156.59	9999
PS12_007	GS13_004	U	-2611.77		-	42.91	201.57	9999
PS12_007	GS13_005	U	-3142.38		-	43.99	228.02	9999
PS12_007	GS13_006	U	-3136.58		-	9.98	173.21	9999
PS12_007	GS13_007	U	-2729.94		-	32.58	194.07	9999
PS12_007	GS13_008	U	-3084.44		-	30.48	212.38	9999
PS12_007	GS13_009	U	-2517.02		-	27.46	176.26	9999
PS12_007	GS13_010	U	-2674.42		-	30.26	185.47	9999
PS12_007	GS13_011	U	-3029.97		-	26.56	189.22	9999
PS12_007	GS13_012	HS	-3147.66		1.41	-	151.82	9999
PS12_007	GS13_013	U	-3051.45		-	33.85	203.93	9999
PS12_007	GS13_014	U	-3020.45		-	26.73	183.06	9999
PS12_007	GS13_015	U	-2883.10		-	17.30	173.04	9999
PS12_007	GS13_016	U	-3092.14		-	25.45	195.56	9999
PS12_007	GS13_017	U	-3076.21		-	38.96	222.23	9999
PS12_007	PS12_001	U	-2977.06		-	36.41	216.70	9999
PS12_007	PS12_002	U	-2767.13		-	37.90	193.07	9999
PS12_007	PS12_003	U	-3066.75		-	26.25	186.94	9999
PS12_007	PS12_004	U	-2619.74		-	18.37	147.26	9999
PS12_007	PS12_005	U	-2954.24		-	10.23	156.17	9999
PS12_007	PS12_006	HS	-3028.71		7.47	-	128.26	9999
PS12_008	GS13_001	U	-3429.70		-	38.47	233.09	9999
PS12_008	GS13_002	U	-2647.32		-	24.41	172.82	9999
PS12_008	GS13_003	U	-3197.57		-	21.99	185.81	9999
PS12_008	GS13_004	U	-2752.85		-	17.53	155.32	9999
PS12_008	GS13_005	U	-3409.06		-	19.48	212.46	9999
PS12_008	GS13_006	U	-3376.64		-	24.85	199.63	9999
PS12_008	GS13_007	U	-2935.00		-	33.41	202.68	9999
PS12_008	GS13_008	U	-3312.33		-	21.19	184.46	9999
PS12_008	GS13_009	U	-2626.37		-	20.53	156.19	9999
PS12_008	GS13_010	U	-2812.07		-	8.61	146.69	9999
PS12_008	GS13_011	U	-3256.03		-	27.36	207.72	9999
PS12_008	GS13_012	U	-3394.74		-	22.29	202.35	9999
PS12_008	GS13_013	U	-3231.58		-	34.42	219.20	9999
PS12_008	GS13_014	U	-3255.95		-	8.57	173.88	9999
PS12_008	GS13_015	U	-3068.04		-	17.01	184.15	9999
PS12_008	GS13_016	U	-3321.97		-	28.93	220.55	9999
PS12_008	GS13_017	U	-3333.59		-	39.67	233.20	9999
PS12_008	PS12_001	U	-3212.82		-	24.76	176.40	9999
PS12_008	PS12_002	U	-2943.61		-	45.42	216.44	9999
PS12_008	PS12_003	U	-3309.92		-	11.63	174.18	9999
PS12_008	PS12_004	U	-2765.00		-	6.46	142.80	9999
PS12_008	PS12_005	U	-3185.73		-	13.16	159.52	9999
PS12_008	PS12_006	U	-3288.24		-	21.75	189.82	9999
PS12_008	PS12_007	U	-3073.38		-	32.72	213.14	9999
PS12_009	GS13_001	U	-3178.60		-	25.71	199.09	9999
PS12_009	GS13_002	U	-2519.01		-	16.67	146.26	9999
PS12_009	GS13_003	U	-2972.64		-	48.36	232.92	9999
PS12_009	GS13_004	U	-2652.03		-	23.72	159.86	9999
PS12_009	GS13_005	U	-3173.87		-	33.12	212.19	9999
PS12_009	GS13_006	U	-3115.22		-	47.99	238.21	9999
PS12_009	GS13_007	U	-2764.41		-	21.90	172.54	9999
PS12_009	GS13_008	U	-3080.14		-	20.95	187.98	9999
PS12_009	GS13_009	U	-2503.04		-	28.24	161.48	9999
PS12_009	GS13_010	U	-2701.55		-	24.29	159.83	9999
PS12_009	GS13_011	U	-3032.50		-	22.19	177.13	9999
PS12_009	GS13_012	U	-3161.33		-	18.07	176.97	9999
PS12_009	GS13_013	U	-3054.03		-	35.54	217.09	9999
PS12_009	GS13_014	U	-3053.40		-	46.37	225.80	9999
PS12_009	GS13_015	U	-2908.42		-	17.01	166.39	9999
PS12_009	GS13_016	U	-3110.77		-	13.67	172.35	9999
PS12_009	GS13_017	U	-3109.92		-	22.49	190.43	9999
PS12_009	PS12_001	U	-2994.78		-	4.48	138.71	9999
PS12_009	PS12_002	U	-2786.52		-	15.39	147.98	9999
PS12_009	PS12_003	HS	-3092.90		1.63	-	137.34	9999
