sample num_seq
AD06_048 3103591.0
WC05_002 1442572.0
WC05_003 2225053.0
WC05_004 817391.0
WC05_005 1318217.0
WC05_006 2292565.0
WC05_007 730127.0
WC05_008 7072930.0
WC05_009 1816634.0
WC05_011 686236.0
WC05_012 2742761.0
WC05_013 692440.0
WC05_015 7716990.0
WC05_016 4403872.0
WC05_017 3082734.0
WC05_018 5636252.0
WC05_019 1128481.0
WC05_020 2006784.0
WC05_021 1344284.0
WC05_022 4629544.0
WC05_023 1789632.0
WC05_024 804264.0
WC05_025 2883685.0
WC05_026 1312224.0
WC05_027 1386324.0
WC05_028 969693.0
WC05_029 5256782.0
WC05_030 1029364.0
WC05_031 1581552.0
WC05_032 2964538.0
WC05_033 1886664.0
WC05_034 1500687.0
WC05_035 2752021.0
WC05_036 1170272.0
WC05_037 1825597.0
WC05_040 5216756.0
WC05_041 1645142.0
WC05_044 1840610.0
WC05_045 693867.0
WC05_046 1014209.0
WC05_047 1668812.0
WC05_048 1333334.0
HS04_001 2608015.0
HS04_002 1368395.0
HS04_003 2848557.0
HS04_004 802734.0
HS04_005 2052987.0
HS04_007 1068638.0
HS04_008 5059463.0
HS04_009 1820726.0
HS04_010 810548.0
HS04_011 395104.0
HS04_012 3106008.0
HS04_013 700058.0
HS04_015 7995504.0
HS04_016 7422303.0
HS04_017 7150744.0
HS04_018 4385580.0
HS04_019 1364464.0
HS04_020 3229661.0
HS04_021 1263617.0
HS04_022 4718252.0
HS04_023 1143836.0
HS04_024 1270538.0
HS04_025 2666335.0
HS04_026 619471.0
HS04_027 2574598.0
HS04_028 964718.0
HS04_029 3737610.0
HS04_030 661033.0
HS04_031 1414184.0
HS04_032 4771266.0
HS04_033 2473424.0
HS04_034 1259031.0
HS04_035 2040597.0
HS04_036 738908.0
HS04_037 1539882.0
HS04_038 469203.0
HS04_040 5306895.0
HS04_041 1372457.0
HS04_042 1227721.0
HS04_043 411829.0
HS04_044 2120640.0
HS04_045 1026754.0
HS04_046 1561409.0
HS04_047 2658942.0
HS04_048 1422816.0
PS12_001 1605297.0
PS12_002 771052.0
PS12_003 2781692.0
PS12_004 603421.0
PS12_005 2069564.0
PS12_006 4273002.0
PS12_007 848249.0
PS12_008 8669070.0
PS12_009 961705.0
PS12_010 810928.0
PS12_011 656926.0
PS12_012 4303059.0
PS12_013 977248.0
PS12_014 3300427.0
PS12_015 6574954.0
PS12_016 5003478.0
PS12_017 11547630.0
PS12_018 3894730.0
PS12_019 1290872.0
PS12_020 3842374.0
PS12_021 1658468.0
PS12_022 5853349.0
PS12_023 737667.0
PS12_024 2827663.0
PS12_025 3645656.0
PS12_026 1070992.0
PS12_027 2272677.0
PS12_028 1251578.0
PS12_029 2897550.0
PS12_030 740088.0
PS12_031 1362817.0
PS12_032 3660939.0
PS12_033 1338989.0
PS12_034 1256595.0
PS12_035 3135305.0
PS12_036 1811789.0
PS12_037 1853265.0
PS12_038 651987.0
PS12_039 468287.0
PS12_040 6409221.0
PS12_041 1468174.0
PS12_042 691730.0
PS12_044 1635103.0
PS12_045 927996.0
PS12_046 2005891.0
PS12_047 1988791.0
PS12_048 1394304.0
GS13_001 3773236.0
GS13_002 469034.0
GS13_003 1264331.0
GS13_004 708024.0
GS13_005 3021100.0
GS13_006 3567637.0
GS13_007 491356.0
GS13_008 2249366.0
GS13_009 461197.0
GS13_010 670218.0
GS13_011 1876058.0
GS13_012 3455079.0
GS13_013 1644276.0
GS13_014 1213603.0
GS13_015 777601.0
GS13_016 2607910.0
GS13_017 2044991.0
PWS12_001 5998582.0
PWS12_002 9378203.0
PWS12_003 1247166.0
PWS12_004 2680460.0
PWS12_005 7552752.0
PWS12_006 3488388.0
PWS12_007 1003068.0
PWS12_008 5251772.0
PWS12_009 2183710.0
PWS12_010 8108290.0
PWS12_011 2214812.0
PWS12_012 975189.0
PWS12_013 2502269.0
PWS12_014 8663133.0
PWS12_015 1500126.0
PWS12_016 2557222.0
PWS12_017 10888080.0
PWS12_018 2092297.0
PWS12_019 1444029.0
PWS12_020 3715732.0
PWS12_021 2256345.0
PWS12_022 2772485.0
PWS12_023 1094121.0
PWS12_025 1916026.0
PWS12_031 3114326.0
PWS12_033 2732203.0
PWS12_041 3365303.0
PWS12_054 8204692.0
PWS12_055 1319639.0
PWS12_056 650297.0
PWS12_057 1666453.0
PWS12_063 1976465.0
PWS12_064 919152.0
PWS12_066 4875086.0
PWS12_069 1900345.0
PWS12_075 6835069.0
PWS12_076 1286500.0
PWS12_077 2041921.0
PWS12_079 4039596.0
PWS12_094 1934546.0
PWS12_095 1954679.0
PWS12_096 2061333.0
PWS12_097 1264944.0
PWS12_131 3358162.0
PWS12_132 1384588.0
PWS12_133 982504.0
PWS12_134 1533532.0
UP03_009 1732014.0
UP03_017 1435570.0
UP03_025 1598862.0
UP03_033 828412.0
UP03_041 2259099.0
UP03_002 819538.0
UP03_010 3383723.0
UP03_018 2644302.0
UP03_042 1066188.0
UP03_003 2649967.0
UP03_011 10007580.0
UP03_019 3390043.0
UP03_027 1344496.0
UP03_035 1501654.0
UP03_043 1544799.0
UP03_004 2337628.0
UP03_012 2539470.0
UP03_020 998047.0
UP03_028 1147545.0
UP03_036 5167844.0
UP03_044 5182015.0
UP03_005 1572817.0
UP03_013 3682096.0
UP03_021 2965396.0
UP03_029 5236518.0
UP03_037 1803496.0
UP03_045 1508903.0
UP03_014 3164855.0
UP03_022 2163338.0
UP03_030 6731002.0
UP03_038 1331632.0
UP03_046 2671751.0
UP03_007 987402.0
UP03_015 686368.0
UP03_023 1569600.0
UP03_047 1167920.0
UP03_008 2908008.0
UP03_016 966256.0
UP03_024 463359.0
UP03_032 968928.0
UP03_040 2498652.0
UP03_048 1488723.0
